"","Year","Dest","DepDelayMean","ArrDelayMean"
"1",1998,"EWR",26.85,37.8
"2",2006,"EWR",33.511961722488,38.8780487804878
"3",1995,"EWR",31.3888888888889,37
"4",2008,"JFK",31.6439024390244,30.0341463414634
"5",2007,"JFK",55.0909090909091,29.0227272727273
"6",2007,"EWR",47.9379310344828,61.6758620689655
"7",1993,"EWR",16.6842105263158,18.9473684210526
"8",2004,"EWR",13.753488372093,21.0700934579439
"9",1996,"EWR",14.4545454545455,13.2727272727273
"10",2008,"EWR",28.1401869158878,27.2336448598131
"11",1997,"EWR",24.2666666666667,21.3333333333333
"12",2005,"EWR",22.0792079207921,32.065
"13",2003,"EWR",7.21276595744681,8.17647058823529
"14",1994,"EWR",13.1,15.9
"15",1995,"LGA",7.3,16.65
